Daten des Teppish
Artikelnummer des Teppish:	123456
Kategorie des Teppish:		Winter
Bereit des Teppish:			1.5
Laenge des Teppish:			2.5
Farben des Teppish:			Rot_Blau_Gelb

Daten des Teppish
Artikelnummer des Teppish:	23
Kategorie des Teppish:		23
Bereit des Teppish:			23.0
Laenge des Teppish:			23.0
Farben des Teppish:			23

Daten des Teppish
Artikelnummer des Teppish:	123456
Kategorie des Teppish:		Winter
Bereit des Teppish:			1.5
Laenge des Teppish:			2.5
Farben des Teppish:			Rot_Blau_Gelb

Daten des Teppish
Artikelnummer des Teppish:	23
Kategorie des Teppish:		23
Bereit des Teppish:			23.0
Laenge des Teppish:			23.0
Farben des Teppish:			23

Daten des Teppish
Artikelnummer des Teppish:	123456
Kategorie des Teppish:		Sommer
Bereit des Teppish:			1.5
Laenge des Teppish:			2.5
Farben des Teppish:			Rot_Weiss_Gelb

Daten des Teppish
Artikelnummer des Teppish:	123456
Kategorie des Teppish:		Winter
Bereit des Teppish:			1.5
Laenge des Teppish:			2.5
Farben des Teppish:			Rot_Blau_Gelb

Daten des Teppish
Artikelnummer des Teppish:	123
Kategorie des Teppish:		123
Bereit des Teppish:			123.0
Laenge des Teppish:			12312.0
Farben des Teppish:			12312

Daten des Teppish
Artikelnummer des Teppish:	123456
Kategorie des Teppish:		Sommer
Bereit des Teppish:			1.5
Laenge des Teppish:			2.5
Farben des Teppish:			Rot_Weiss_Gelb

Daten des Teppish
Artikelnummer des Teppish:	123456
Kategorie des Teppish:		Winter
Bereit des Teppish:			1.5
Laenge des Teppish:			2.5
Farben des Teppish:			Rot_Blau_Gelb

